[seqwish::seqidx] 0.005 indexing sequences
[seqwish::seqidx] 2103.997 index built
[seqwish::alignments] 2103.997 processing alignments
[seqwish::alignments] 6524.770 indexing
[seqwish::alignments] 40892.760 index built
[seqwish::transclosure] 51883.768 16.43% 33659794026-41706761694 graph_emission
[seqwish::transclosure] 51911.050 16.45% 41706761694-44414273133 overlap_collect
[seqwish::transclosure] 51997.094 16.45% 41706761694-44414273133 rank_build
[seqwish::transclosure] 52076.580 16.45% 41706761694-44414273133 parallel_union_find
[seqwish::transclosure] 52203.987 16.45% 41706761694-44414273133 dset_write
[seqwish::transclosure] 52219.665 16.45% 41706761694-44414273133 dset_compression
[seqwish::transclosure] 52231.766 16.45% 41706761694-44414273133 dset_sort
[seqwish::transclosure] 52239.545 16.45% 41706761694-44414273133 dset_invert
[seqwish::transclosure] 52248.337 16.45% 41706761694-44414273133 graph_emission
[seqwish::transclosure] 52269.755 17.44% 44414273133-44464273133 overlap_collect
[seqwish::transclosure] 52406.546 17.44% 44414273133-44464273133 rank_build
[seqwish::transclosure] 52511.231 17.44% 44414273133-44464273133 parallel_union_find
[seqwish::transclosure] 52732.907 17.44% 44414273133-44464273133 dset_write
[seqwish::transclosure] 52763.209 17.44% 44414273133-44464273133 dset_compression
[seqwish::transclosure] 52784.701 17.44% 44414273133-44464273133 dset_sort
[seqwish::transclosure] 52797.413 17.44% 44414273133-44464273133 dset_invert
[seqwish::transclosure] 52812.456 17.44% 44414273133-44464273133 graph_emission
[seqwish::transclosure] 52847.303 19.08% 44464273133-44514273133 overlap_collect
[seqwish::transclosure] 52983.595 19.08% 44464273133-44514273133 rank_build
[seqwish::transclosure] 53087.940 19.08% 44464273133-44514273133 parallel_union_find
[seqwish::transclosure] 53295.028 19.08% 44464273133-44514273133 dset_write
[seqwish::transclosure] 53321.437 19.08% 44464273133-44514273133 dset_compression
[seqwish::transclosure] 53341.137 19.08% 44464273133-44514273133 dset_sort
[seqwish::transclosure] 53353.510 19.08% 44464273133-44514273133 dset_invert
[seqwish::transclosure] 53367.623 19.08% 44464273133-44514273133 graph_emission
[seqwish::transclosure] 53727.728 20.69% 44514273133-44564273133 overlap_collect
[seqwish::transclosure] 53875.832 20.69% 44514273133-44564273133 rank_build
[seqwish::transclosure] 53984.043 20.69% 44514273133-44564273133 parallel_union_find
[seqwish::transclosure] 54207.792 20.69% 44514273133-44564273133 dset_write
[seqwish::transclosure] 54233.128 20.69% 44514273133-44564273133 dset_compression
[seqwish::transclosure] 54254.023 20.69% 44514273133-44564273133 dset_sort
[seqwish::transclosure] 54268.408 20.69% 44514273133-44564273133 dset_invert
[seqwish::transclosure] 54291.569 20.69% 44514273133-44564273133 graph_emission
[seqwish::transclosure] 54712.413 22.33% 44564273133-44786670822 overlap_collect
[seqwish::transclosure] 54856.617 22.33% 44564273133-44786670822 rank_build
[seqwish::transclosure] 54934.227 22.33% 44564273133-44786670822 parallel_union_find
[seqwish::transclosure] 55063.054 22.33% 44564273133-44786670822 dset_write
[seqwish::transclosure] 55073.502 22.33% 44564273133-44786670822 dset_compression
[seqwish::transclosure] 55083.459 22.33% 44564273133-44786670822 dset_sort
[seqwish::transclosure] 55089.125 22.33% 44564273133-44786670822 dset_invert
[seqwish::transclosure] 55095.780 22.33% 44564273133-44786670822 graph_emission
[seqwish::transclosure] 55548.321 23.06% 44786673738-47689138622 overlap_collect
[seqwish::transclosure] 55612.019 23.06% 44786673738-47689138622 rank_build
[seqwish::transclosure] 55674.033 23.06% 44786673738-47689138622 parallel_union_find
[seqwish::transclosure] 55676.945 23.06% 44786673738-47689138622 dset_write
[seqwish::transclosure] 55678.070 23.06% 44786673738-47689138622 dset_compression
[seqwish::transclosure] 55678.985 23.06% 44786673738-47689138622 dset_sort
[seqwish::transclosure] 55679.681 23.06% 44786673738-47689138622 dset_invert
[seqwish::transclosure] 55680.455 23.06% 44786673738-47689138622 graph_emission
[seqwish::transclosure] 55932.547 23.14% 47689149099-51435929874 overlap_collect
[seqwish::transclosure] 55948.168 23.14% 47689149099-51435929874 rank_build
[seqwish::transclosure] 56003.920 23.14% 47689149099-51435929874 parallel_union_find
[seqwish::transclosure] 56004.621 23.14% 47689149099-51435929874 dset_write
[seqwish::transclosure] 56005.271 23.14% 47689149099-51435929874 dset_compression
[seqwish::transclosure] 56005.838 23.14% 47689149099-51435929874 dset_sort
[seqwish::transclosure] 56006.404 23.14% 47689149099-51435929874 dset_invert
[seqwish::transclosure] 56006.970 23.14% 47689149099-51435929874 graph_emission
[seqwish::transclosure] 56029.677 23.18% 51435929874-55228705555 overlap_collect
[seqwish::transclosure] 56042.119 23.18% 51435929874-55228705555 rank_build
[seqwish::transclosure] 56101.818 23.18% 51435929874-55228705555 parallel_union_find
[seqwish::transclosure] 56102.012 23.18% 51435929874-55228705555 dset_write
[seqwish::transclosure] 56102.368 23.18% 51435929874-55228705555 dset_compression
[seqwish::transclosure] 56102.679 23.18% 51435929874-55228705555 dset_sort
[seqwish::transclosure] 56103.126 23.18% 51435929874-55228705555 dset_invert
[seqwish::transclosure] 56103.546 23.18% 51435929874-55228705555 graph_emission
[seqwish::transclosure] 56125.504 23.21% 55228705555-58574351773 overlap_collect
[seqwish::transclosure] 56136.221 23.21% 55228705555-58574351773 rank_build
[seqwish::transclosure] 56191.113 23.21% 55228705555-58574351773 parallel_union_find
[seqwish::transclosure] 56191.306 23.21% 55228705555-58574351773 dset_write
[seqwish::transclosure] 56191.625 23.21% 55228705555-58574351773 dset_compression
[seqwish::transclosure] 56191.889 23.21% 55228705555-58574351773 dset_sort
[seqwish::transclosure] 56192.305 23.21% 55228705555-58574351773 dset_invert
[seqwish::transclosure] 56192.678 23.21% 55228705555-58574351773 graph_emission
[seqwish::transclosure] 56212.102 23.23% 58574351773-60795670166 overlap_collect
[seqwish::transclosure] 56219.632 23.23% 58574351773-60795670166 rank_build
[seqwish::transclosure] 56274.881 23.23% 58574351773-60795670166 parallel_union_find
[seqwish::transclosure] 56275.487 23.23% 58574351773-60795670166 dset_write
[seqwish::transclosure] 56275.940 23.23% 58574351773-60795670166 dset_compression
[seqwish::transclosure] 56276.362 23.23% 58574351773-60795670166 dset_sort
[seqwish::transclosure] 56276.888 23.23% 58574351773-60795670166 dset_invert
[seqwish::transclosure] 56277.356 23.23% 58574351773-60795670166 graph_emission
[seqwish::transclosure] 56295.242 23.26% 60795670166-62583922486 overlap_collect
